métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
2012;28185;21221;6964;915;584;331
2013;28898;21259;7639;952;587;365
2014;29384;21535;7849;850;564;286
2015;29432;21520;7912;611;379;232
2016;29668;21580;8088;927;545;382
2017;30109;21723;8386;1115;709;406
2018;30375;21891;8484;836;528;308
2019;31364;22333;9031;804;521;283
2020;31887;22714;9173;835;549;286
2021;32332;23032;9300;710;501;209
2022;32988;23449;9539;991;659;332
2023;31353;24220;7133;1407;898;509
